channel,category,name,phone,email_or_form,social,website,source,notes,status
CALL,NYC therapist,Williamsburg Therapy Group,347-970-6757,contact@williamsburgtherapygroup.com,@williamsburgtherapygroup,williamsburgtherapygroup.com,nyc-leads,,to-do
CALL,NYC therapist,Tribeca Therapy,212-571-5799,inquiries@tribecatherapy.com,@tribecatherapy,tribecatherapy.com,nyc-leads,,to-do
CALL,NYC therapist,Manhattan Therapy Collective,212-271-0216,hello@manhattantherapycollective.com,,manhattantherapycollective.com,nyc-leads,,to-do
CALL,NYC therapist,Kip Therapy,212-575-4769,hello@kiptherapy.com,@kiptherapy,kiptherapy.com,nyc-leads,,to-do
CALL,NYC therapist,Brooklyn Minds,929-296-1624,,@bklynminds,brooklynminds.com,nyc-leads,,to-do
CALL,NYC therapist,Cobb Psychotherapy,212-575-2622,reception@cobbpsychotherapy.com,@cobb_psychotherapy,cobb.nyc,nyc-leads,,to-do
CALL,NYC therapist,Flourish Psychology,917-737-9475,help@flourishpsychologynyc.com,@flourishpsychologynyc,flourishpsychologynyc.com,nyc-leads,,to-do
CALL,NYC therapist,Small Brooklyn Psychology,718-622-4058,,@smallbrooklynpsychology,smallbrooklyn.com,nyc-leads,,to-do
CALL,NYC therapist,Brooklyn Mindful,917-740-6291,brooklynmindful@gmail.com,@brooklynmindful,brooklynmindful.com,nyc-leads,,to-do
DM,NYC coach,Annie Lin (New York Life Coaching),(646) 789-5612,hello@newyorklifecoaching.com,@newyorklifecoaching,newyorklifecoaching.com,nyc-leads,,to-do
DM,NYC coach,Irina Popa-Erwin (The NYC Life Coach),(646) 943-9160,nyc@thenyclifecoach.com,@thenyclifecoach,thenyclifecoach.com,nyc-leads,,to-do
DM,NYC coach,Dominique Perkowski,,(form / DM),@dominiqueperkowski,dominiqueperkowski.com,nyc-leads,,to-do
DM,NYC coach,Susan Reis (The Cyclical Seed),,susanreis@thecyclicalseed.com,@thecyclicalseed,thecyclicalseed.com,nyc-leads,,to-do
DM,NYC coach,Kelsey Matheson,,,@thekelseymatheson,kelseymatheson.com,nyc-leads,,to-do
DM,NYC coach,Heather Edwards,(347) 573-9962,,@heatheredwards.nyc,heatheredwardsnyc.com,nyc-leads,,to-do
DM,NYC coach,Dr. Anna Yusim,(917) 727-9437,(contact via site),@annayusim,annayusim.com,nyc-leads,,to-do
DM,NYC coach,Erin Snively,,,@eksnivelycoaching,(IG-based),nyc-leads,,to-do
DM,NYC coach,Dr. Scott Shapiro (The Productivity Coach),(212) 631-8010,scott@scottshapiromd.com,(Facebook),theproductivitycoachnyc.com,nyc-leads,,to-do
DM,NYC coach,Kara Loewentheil (School of New Feminist Thought),,,@karaloewentheil,schoolofnewfeministthought.com,nyc-leads,,to-do
DM,NYC wellness,Maha Rose Center for Healing,(718) 954-7590,info@maharose.com,@maharosenyc,maharose.com,nyc-leads,,to-do
DM,NYC wellness,SKY TING,(646) 823-9642,,@skyting,skyting.com,nyc-leads,,to-do
DM,NYC wellness,Kula Yoga Project,917-472-7499,info@kulayoga.com,@kulayogaproject,kulayoga.com,nyc-leads,,to-do
DM,NYC wellness,Three Jewels,(646) 964-5736,,@threejewelsnyc,threejewels.org,nyc-leads,,to-do
DM,NYC wellness,Y7 Studio,(646) 820-0781,,@y7studio,y7-studio.com,nyc-leads,,to-do
DM,NYC wellness,The Class,,,@theclass,theclass.com,nyc-leads,,to-do
DM,NYC wellness,Fyra Yoga (fka Modo NYC),(212) 780-9642 (verify),westvillage@modoyoganyc.com (verify),@fyrayoga,fyrayoga.com,nyc-leads,,to-do
DM,NYC wellness,Golden Hour Yoga NY,,,@goldenhour.yoga.ny,goldenhouryogany.com,nyc-leads,,to-do
DM,NYC wellness,The Path (meditation),,,@the.path,thepath.com,nyc-leads,,to-do
DM,NYC wellness,The Bhakti Center,(212) 533-4842,info@bhakticenter.org,@bhakticenter,bhakticenter.org,nyc-leads,,to-do
DM,NYC wellness,Shambhala Meditation Center of NY,(212) 256-9131,,@shambhalanyc,ny.shambhala.org,nyc-leads,,to-do
DM,NYC wellness,Jivamukti Yoga Collective NYC,(646) 389-0209,info@jivamuktiyoganyc.com,@jivamuktiyoga.nyc,jivamuktiyoganyc.com,nyc-leads,,to-do
DM,NYC wellness,The BK Yoga Club,,,@bkyogaclub,bkyogaclub.com,nyc-leads,,to-do
DM,NYC wellness,Brooklyn Yoga Project,,,@brooklynyogaproject,brooklynyogaproject.com,nyc-leads,,to-do
DM,NYC wellness,Brooklyn Flow (fka Bend + Bloom),347-987-3162,,@bendandbloom,brooklynflow.com,nyc-leads,,to-do
DM,NYC wellness,New York Insight Meditation Center,(212) 213-4802,,@newyorkinsight,nyimc.org,nyc-leads,,to-do
DM,NYC wellness,The Shala,,,@theshalanyc,theshala.com,nyc-leads,,to-do
DM,NYC wellness,Solid Gold Yogi,(917) 754-3446,,@solidgoldyogi,solidgoldyogi.com,nyc-leads,,to-do
DM,NYC wellness,MNDFL,(212) 477-0601 (verify),village@mndflmeditation.com (verify),@mndflmeditation,mndflmeditation.com,nyc-leads,,to-do
