name,phone,email_or_form,social,category,website,source,status
Williamsburg Therapy Group,347-970-6757,contact@williamsburgtherapygroup.com,@williamsburgtherapygroup,NYC therapist,williamsburgtherapygroup.com,nyc-leads,to-do
Tribeca Therapy,212-571-5799,inquiries@tribecatherapy.com,@tribecatherapy,NYC therapist,tribecatherapy.com,nyc-leads,to-do
Manhattan Therapy Collective,212-271-0216,hello@manhattantherapycollective.com,,NYC therapist,manhattantherapycollective.com,nyc-leads,to-do
Kip Therapy,212-575-4769,hello@kiptherapy.com,@kiptherapy,NYC therapist,kiptherapy.com,nyc-leads,to-do
Brooklyn Minds,929-296-1624,,@bklynminds,NYC therapist,brooklynminds.com,nyc-leads,to-do
Cobb Psychotherapy,212-575-2622,reception@cobbpsychotherapy.com,@cobb_psychotherapy,NYC therapist,cobb.nyc,nyc-leads,to-do
Flourish Psychology,917-737-9475,help@flourishpsychologynyc.com,@flourishpsychologynyc,NYC therapist,flourishpsychologynyc.com,nyc-leads,to-do
Small Brooklyn Psychology,718-622-4058,,@smallbrooklynpsychology,NYC therapist,smallbrooklyn.com,nyc-leads,to-do
Brooklyn Mindful,917-740-6291,brooklynmindful@gmail.com,@brooklynmindful,NYC therapist,brooklynmindful.com,nyc-leads,to-do
UCLA CAPS,310-825-0768,info@caps.ucla.edu,,University counseling,counseling.ucla.edu,https://counseling.ucla.edu/contact,to-do
Ohio State CCS,614-292-5766,(web form),,University counseling,ccs.osu.edu,https://ccs.osu.edu/,to-do
UT Austin CMHC,512-471-3515,(web form),,University counseling,cmhc.utexas.edu,https://cmhc.utexas.edu/,to-do
University of Michigan CAPS,734-764-8312,CAPS-UofM@umich.edu,,University counseling,uhs.umich.edu,https://caps.umich.edu/,to-do
Arizona State University Counseling,(480) 965-6146,(web form),,University counseling,eoss.asu.edu/counseling,https://eoss.asu.edu/counseling,to-do
University of Florida CWC,352-392-1575,(web form),,University counseling,counseling.ufl.edu,https://counseling.ufl.edu/,to-do
Penn State CAPS,814-863-0395,(web form),,University counseling,studentaffairs.psu.edu/counseling,https://studentaffairs.psu.edu/counseling,to-do
NYU Counseling & Wellness,(212) 998-4780,wellness.exchange@nyu.edu,,University counseling,nyu.edu,https://www.nyu.edu/students/health-and-wellness/services/counseling-services.html,to-do
Two Chairs,(415) 202-5159,support@twochairs.com,,Therapy practice,twochairs.com,https://www.twochairs.com/referrals,to-do
Octave,(415) 360-3833,support@findoctave.com,,Therapy practice,findoctave.com,https://www.findoctave.com/contact,to-do
Thriveworks,833-530-2577,(web form),,Therapy practice,thriveworks.com,https://thriveworks.com/contact-us/,to-do
LifeStance Health,1-800-383-8282,wecare@lifestance.com,,Therapy practice,lifestance.com,https://lifestance.com/contact/,to-do
Grow Therapy,(646) 687-9932,support@growtherapy.com,,Therapy practice,growtherapy.com,https://growtherapy.com/contact-us/,to-do
Headway,(833) 910-3781,support@get-headway.com,,Therapy practice,headway.co,https://headway.co/,to-do
SonderMind,844-843-7279,support@sondermind.com,,Therapy practice,sondermind.com,https://www.sondermind.com/contact-us/,to-do
Mindpath Health,1-855-501-1004,(web form),,Therapy practice,mindpath.com,https://www.mindpath.com/,to-do
The Family Institute (Northwestern),(847) 733-4300,(web form),,Therapy practice,family-institute.org,https://www.family-institute.org/about-us/contact-us,to-do
Talkiatry,833-351-8255,hello@talkiatry.com,,Therapy practice,talkiatry.com,https://www.talkiatry.com/contact-us,to-do
Ellie Mental Health,1-888-693-5543,(web form),,Therapy practice,elliementalhealth.com,https://elliementalhealth.com/contact/,to-do
