name,phone,email_or_form,social,category,website,source,status
Co-Active Training Institute (CTI),(415) 451-6000 / 800-691-6008,marketing@coactive.com,,Coaching school,coactive.com,https://coactive.com/contact/,to-do
iPEC Coaching,866-722-6224,admissions@ipeccoaching.com,,Coaching school,ipeccoaching.com,https://www.energyleadership.com/contact,to-do
International Coaching Federation (ICF),888-423-3131,icfheadquarters@coachingfederation.org,,Coaching body,coachingfederation.org,https://coachingfederation.org/about/contact-us/,to-do
The Life Coach School,800-356-1240,theteam@thelifecoachschool.com,,Coaching school,thelifecoachschool.com,https://www.thelifecoachschool.com/contact-us,to-do
Robbins-Madanes Training,855-850-7111,support@robbinsmadanes.com,,Coaching school,rmtcenter.com,https://rmtcenter.com/contact/,to-do
Institute for Integrative Nutrition (IIN),877-730-5444,admissions@integrativenutrition.com,,Coaching school,integrativenutrition.com,https://www.integrativenutrition.com/contact,to-do
Erickson Coaching International,604-879-5600,(web contact form),,Coaching school,erickson.edu,https://www.erickson.edu/,to-do
Coach U,1-800-482-6224,clientsuccess@coachu.com,,Coaching school,coachu.com,https://www.coachu.com/contactus/,to-do
Health Coach Institute,888-822-1284,support@healthcoachinstitute.com,,Coaching school,healthcoachinstitute.com,https://healthcoachinstitute.com/,to-do
Jay Shetty Certification School,,support@jayshettycoaching.com,,Coaching school,jayshettycoaching.com,https://jayshettycoaching.com/,to-do
California Assoc of School Counselors (CASC),(909) 815-5222,customerservice@schoolcounselor-ca.org,,School counselor assoc,schoolcounselor-ca.org,https://www.schoolcounselor-ca.org/contact-us,to-do
Texas School Counselor Association (TSCA),512-472-3403,info@txca.org,,School counselor assoc,txca.org/tsca,https://www.txca.org/tca/CONTACT2.asp,to-do
New York State School Counselor Assoc (NYSSCA),(937) 969-7722,info@nyssca.org,,School counselor assoc,nyssca.org,https://nyssca.org/,to-do
Florida School Counselor Association (FSCA),(904) 586-1757,fsca@fla-schoolcounselor.org,,School counselor assoc,fla-schoolcounselor.org,https://www.fla-schoolcounselor.org/,to-do
Ohio School Counselor Association (OSCA),(614) 401-4642,osca@ohioschoolcounselor.org,,School counselor assoc,ohioschoolcounselor.org,https://ohioschoolcounselor.org/about,to-do
Pennsylvania School Counselors Assoc (PSCA),412-612-3801,epeiffer@paschoolcounselor.org,,School counselor assoc,paschoolcounselor.org,https://www.paschoolcounselor.org/,to-do
Illinois School Counselor Association (ISCA),,executivedirector@ilschoolcounselor.org,,School counselor assoc,ilschoolcounselor.org,https://ilschoolcounselor.org/Contact-Us,to-do
Georgia School Counselor Association (GSCA),(770) 971-6002,info@gaschoolcounselor.org,,School counselor assoc,gaschoolcounselor.org,https://www.gaschoolcounselor.org/contact-us,to-do
Kripalu Center,413-448-3500,registration@kripalu.org,,Wellness/retreat,kripalu.org,https://kripalu.org/about/kripalu/contact-us,to-do
