category,name,area,phone,email_or_contact,instagram,website,status
NYC therapist,Williamsburg Therapy Group,Williamsburg BK,347-970-6757,contact@williamsburgtherapygroup.com,@williamsburgtherapygroup,williamsburgtherapygroup.com,to-do
NYC therapist,Tribeca Therapy,Tribeca,212-571-5799,inquiries@tribecatherapy.com,@tribecatherapy,tribecatherapy.com,to-do
NYC therapist,Manhattan Therapy Collective,Midtown,212-271-0216,hello@manhattantherapycollective.com,—,manhattantherapycollective.com,to-do
NYC therapist,Kip Therapy,Columbus Circle,212-575-4769,hello@kiptherapy.com,@kiptherapy,kiptherapy.com,to-do
NYC therapist,Brooklyn Minds,Greenpoint,929-296-1624,(contact form),@bklynminds,brooklynminds.com,to-do
NYC therapist,Cobb Psychotherapy,Brooklyn Hts/Midtown,212-575-2622,reception@cobbpsychotherapy.com,@cobb_psychotherapy,cobb.nyc,to-do
NYC therapist,Flourish Psychology,Brooklyn Heights,917-737-9475,help@flourishpsychologynyc.com,@flourishpsychologynyc,flourishpsychologynyc.com,to-do
NYC therapist,The Village Institute for Psychotherapy,Midtown East,646-791-3129,(contact form),—,villageinstitute.com,to-do
NYC therapist,Union Square Psychology,Union Square,212-675-3205,intake@unionsquarepsych.com,—,unionsquarepsych.com,to-do
NYC therapist,Union Square Psychotherapy,Union Square,917-267-2775,(contact form),—,usqtherapy.org,to-do
NYC therapist,Psychotherapy & Counseling Center,Astoria/Forest Hills Queens,718-426-8110,(contact form),—,queenscounselingservices.com,to-do
NYC therapist,GRG Therapy,Astoria Queens,917-370-3474,(contact form),—,grgtherapy.com,to-do
NYC therapist,Upper East Side Psychology,Upper East Side,917-773-8674,dr.G@UESpsychology.com,—,uppereastsidepsychology.com,to-do
NYC therapist,Uptown Downtown Psychotherapy,UWS/Tribeca,646-859-1144,(contact form),—,uptowndowntownnyc.com,to-do
NYC therapist,Small Brooklyn Psychology,Sunset Park BK,718-622-4058,(contact form),@smallbrooklynpsychology,smallbrooklyn.com,to-do
NYC therapist,Brooklyn Mindful,Downtown BK,917-740-6291,brooklynmindful@gmail.com,@brooklynmindful,brooklynmindful.com,to-do
NYC coach,Annie Lin (New York Life Coaching),Upper West Side,(646) 789-5612,hello@newyorklifecoaching.com,@newyorklifecoaching,newyorklifecoaching.com,to-do
NYC coach,Irina Popa-Erwin (The NYC Life Coach),Manhattan,(646) 943-9160,nyc@thenyclifecoach.com,@thenyclifecoach,thenyclifecoach.com,to-do
NYC coach,Dominique Perkowski,NYC,—,(form / DM),@dominiqueperkowski,dominiqueperkowski.com,to-do
NYC coach,Susan Reis (The Cyclical Seed),NYC,—,susanreis@thecyclicalseed.com,@thecyclicalseed,thecyclicalseed.com,to-do
NYC coach,Kelsey Matheson,Brooklyn,—,(contact form),@thekelseymatheson,kelseymatheson.com,to-do
NYC coach,Heather Edwards,Murray Hill,(347) 573-9962,(contact form),@heatheredwards.nyc,heatheredwardsnyc.com,to-do
NYC coach,Dr. Anna Yusim,NYC,(917) 727-9437,(contact via site),@annayusim,annayusim.com,to-do
NYC coach,Erin Snively,NYC,—,(DM),@eksnivelycoaching,(IG-based),to-do
NYC coach,Jissel Ravelo,Chelsea,(646) 499-2399,(contact form),—,jisselravelo.com,to-do
NYC coach,Dr. Scott Shapiro (The Productivity Coach),NYC,(212) 631-8010,scott@scottshapiromd.com,(Facebook),theproductivitycoachnyc.com,to-do
NYC coach,Soken Graf (Bodhi Heart),Greenwich Village,(917) 231-6712,office@bodhiheart.com,—,bodhiheart.com,to-do
NYC coach,Kara Loewentheil (School of New Feminist Thought),NYC,—,(contact form),@karaloewentheil,schoolofnewfeministthought.com,to-do
